Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
5.0,13.24,3.678,9.76,2.778,10.0,1.056,0.0,0.0,7.55,8.33,36.46,1.06,,4.198770999999999
5.05,13.44,3.733,10.23,2.778,10.0,1.111,0.0,0.0,7.73,8.47,36.41,,,4.4026835
5.1,13.63,3.786,9.76,2.778,10.0,1.056,0.0,0.0,7.92,8.61,36.36,,,4.602043
5.15,13.81,3.836,10.23,2.778,10.0,1.0,0.0,0.0,8.11,8.75,36.31,,,4.792693
5.2,13.96,3.878,9.76,2.778,10.0,0.833,0.0,0.0,8.3,8.88,36.25,,,4.954770999999999
5.25,14.09,3.914,10.23,2.778,10.0,0.722,0.0,0.0,8.5,9.02,36.2,,,5.095098999999999
5.3,14.23,3.953,9.76,2.778,10.0,0.778,0.0,0.0,8.7,9.16,36.14,,,5.248583499999999
5.35,14.38,3.994,10.23,2.778,10.0,0.833,0.0,0.0,8.9,9.3,36.08,,,5.4115790000000015
5.4,14.55,4.042,9.76,2.778,10.0,0.944,0.0,0.0,9.1,9.44,36.02,,,5.604539000000001
5.45,14.73,4.092,10.23,2.778,10.0,1.0,0.0,0.0,9.3,9.58,35.96,,,5.807988999999999
5.5,14.92,4.144,9.76,2.778,10.0,1.056,0.0,0.0,9.51,9.72,35.89,,,6.022229000000003
5.55,15.11,4.197,10.23,2.778,10.0,1.056,0.0,0.0,9.72,9.86,35.82,,,6.243371500000002
5.6,15.3,4.25,9.76,2.778,10.0,1.056,0.0,0.0,9.93,9.99,35.74,,,6.467323
5.65,15.49,4.303,10.23,2.778,10.0,1.056,0.0,0.0,10.14,10.14,35.67,,,6.694083500000001
5.7,15.66,4.35,9.76,2.778,10.0,0.944,0.0,0.0,10.36,10.27,35.59,,,6.897523
5.75,15.82,4.394,10.23,2.778,10.0,0.889,0.0,0.0,10.58,10.41,35.51,,,7.089979000000001
5.8,15.98,4.439,9.76,2.778,10.0,0.889,0.0,0.0,10.8,10.55,35.43,,,7.288811500000001
5.85,16.13,4.481,10.23,2.778,10.0,0.833,0.0,0.0,11.02,10.69,35.35,,,7.476215500000002
5.9,16.28,4.522,9.76,2.778,10.0,0.833,0.0,0.0,11.25,10.83,35.26,,,7.660859000000002
5.95,16.44,4.567,10.23,2.778,10.0,0.889,0.0,0.0,11.47,10.97,35.17,,,7.8654515000000025
6.0,16.58,4.606,9.76,2.778,10.0,0.778,0.0,0.0,11.7,11.11,35.08,,,8.044403
6.05,16.71,4.642,10.23,2.778,10.0,0.722,0.0,0.0,11.93,11.25,34.99,,,8.210939000000002
6.1,16.87,4.686,9.76,2.778,10.0,0.889,0.0,0.0,12.17,11.38,34.89,,,8.416243000000001
6.15,17.04,4.733,10.23,2.778,10.0,0.944,0.0,0.0,12.4,11.52,34.8,,,8.6376835
6.2,17.22,4.783,9.76,2.778,10.0,1.0,0.0,0.0,12.64,11.66,34.7,,,8.875683500000003
6.25,17.41,4.836,10.23,2.778,10.0,1.056,0.0,0.0,12.88,11.8,34.6,,,9.130693000000003
6.3,17.6,4.889,9.76,2.778,10.0,1.056,0.0,0.0,13.13,11.94,34.49,,,9.388511500000003
6.35,17.78,4.939,10.23,2.778,10.0,1.0,0.0,0.0,13.37,12.08,34.39,,,9.634311500000003
6.4,17.96,4.989,9.76,2.778,10.0,1.0,0.0,0.0,13.62,12.22,34.27,,,9.882611500000001
6.45,18.1,5.028,10.23,2.778,10.0,0.778,0.0,0.0,13.87,12.36,34.16,,,10.078021
6.5,18.19,5.053,9.76,2.778,10.0,0.5,0.0,0.0,14.12,12.49,34.05,,,10.204083500000001
6.55,18.23,5.064,10.23,2.778,10.0,0.222,0.0,0.0,14.38,12.63,33.94,,,10.259749000000001
6.6,18.25,5.069,9.76,2.778,10.0,0.111,0.0,0.0,14.63,12.77,33.82,,,10.2850915
6.65,18.27,5.075,10.23,2.778,10.0,0.111,0.0,0.0,14.88,12.91,33.71,,,10.315535500000003
6.7,18.33,5.092,9.76,2.778,10.0,0.333,0.0,0.0,15.14,13.05,33.59,,,10.401988999999999
6.75,18.43,5.119,10.23,2.778,10.0,0.556,0.0,0.0,15.39,13.19,33.48,,,10.5398915
6.8,18.59,5.164,9.76,2.778,10.0,0.889,0.0,0.0,15.65,13.33,33.36,,,10.771348999999999
6.85,18.79,5.219,10.23,2.778,10.0,1.111,0.0,0.0,15.91,13.47,33.24,,,11.056991500000004
6.9,19.01,5.281,9.76,2.778,10.0,1.222,0.0,0.0,16.17,13.61,33.11,,,11.3826155
6.95,19.23,5.342,10.23,2.778,10.0,1.222,0.0,0.0,16.44,13.75,32.98,,,11.706738999999999
7.0,19.44,5.4,9.76,2.778,10.0,1.167,0.0,0.0,16.71,13.88,32.85,,,12.018373000000004
7.05,19.66,5.461,10.23,2.778,10.0,1.222,0.0,0.0,16.98,14.02,32.72,,,12.349755500000002
7.1,19.86,5.517,9.76,2.778,10.0,1.111,0.0,0.0,17.25,14.16,32.58,,,12.657251500000003
7.15,20.05,5.569,10.23,2.778,10.0,1.056,0.0,0.0,17.53,14.3,32.45,,,12.9455915
7.2,20.2,5.611,9.76,2.778,10.0,0.833,0.0,0.0,17.81,14.44,32.3,,,13.1804555
7.25,20.32,5.644,10.23,2.778,10.0,0.667,0.0,0.0,18.09,14.58,32.16,,,13.366229000000002
7.3,20.41,5.669,9.76,2.778,10.0,0.5,0.0,0.0,18.38,14.72,32.02,,,13.507691499999998
7.35,20.45,5.681,10.23,2.778,10.0,0.222,0.0,0.0,18.66,14.86,31.88,,,13.575815500000003
