Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,8.82,8.82,21.01,0.0,0.0,0.0,2.45,,,1.5,4.02,
0.05,0.0,10.58,9.7,21.01,0.0,0.14,0.0,2.694,0.0,4.889,1.5,,
0.1,0.0,10.75,10.05,21.0,0.0,0.29,0.0,2.792,0.0,1.944,1.5,,
0.15,0.0,7.77,9.48,21.0,0.0,0.42,0.0,2.633,0.0,-3.167,1.5,,
0.2,0.0,4.89,8.56,21.0,0.0,0.5,0.0,2.378,0.0,-5.111,1.5,,
0.25,0.0,0.29,7.18,21.0,0.0,0.53,0.0,1.994,0.0,-7.667,1.5,,
0.3,0.0,1.26,6.34,21.0,0.0,0.54,0.0,1.761,0.0,-4.667,1.5,,
0.35,0.04,1.82,5.77,21.0,0.0,0.56,0.011,1.603,0.222,-3.167,1.5,,
0.4,0.07,0.79,5.22,21.0,0.0,0.57,0.019,1.45,0.167,-3.056,1.5,,
0.45,0.05,0.76,4.77,21.0,0.0,0.58,0.014,1.325,-0.111,-2.5,1.5,,
0.5,0.07,0.71,3.96,21.0,0.0,0.58,0.019,1.1,0.111,-4.5,1.5,,
0.55,0.04,0.67,2.97,21.0,0.0,0.59,0.011,0.825,-0.167,-5.5,1.5,,
0.6,0.08,0.63,1.96,21.0,0.0,0.6,0.022,0.544,0.222,-5.611,1.5,,
0.65,0.03,0.59,1.24,21.0,0.0,0.6,0.008,0.344,-0.278,-4.0,1.5,,
0.7,0.1,0.55,0.81,21.0,0.0,0.61,0.028,0.225,0.389,-2.389,1.5,,
0.75,0.01,0.52,0.83,21.0,0.0,0.61,0.003,0.231,-0.5,0.111,1.5,,
0.8,0.12,0.49,0.75,21.0,0.0,0.61,0.033,0.208,0.611,-0.444,1.5,,
0.85,0.02,0.46,0.62,21.0,0.0,0.62,0.006,0.172,-0.556,-0.722,1.5,,
0.9,0.15,0.43,0.58,21.0,0.01,0.62,0.042,0.161,0.722,-0.222,1.5,,
0.95,0.05,0.4,0.54,21.0,0.01,0.63,0.014,0.15,-0.556,-0.222,1.5,,
1.0,0.18,0.75,0.55,21.0,0.01,0.64,0.05,0.153,0.722,0.056,1.5,,
1.05,0.08,1.29,0.61,21.02,0.01,0.65,0.022,0.169,-0.556,0.333,1.5,,
1.1,0.22,0.81,0.63,21.03,0.01,0.67,0.061,0.175,0.778,0.111,1.5,,
