Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.15,1.76,1.76,40.99,0.0,0.0,0.042,0.489,,,1.5,4.1,
0.05,0.18,1.76,1.76,40.99,0.0,0.01,0.05,0.489,0.167,0.0,1.5,,
0.1,0.15,1.76,1.76,40.99,0.0,0.03,0.042,0.489,-0.167,0.0,1.5,,
0.15,0.0,1.77,1.76,40.99,0.01,0.04,0.0,0.489,-0.833,0.0,1.5,,
0.2,0.0,1.77,1.77,40.99,0.01,0.06,0.0,0.492,0.0,0.056,1.5,,
0.25,0.14,1.78,1.77,40.99,0.01,0.07,0.039,0.492,0.778,0.0,1.5,,
0.3,0.24,1.79,1.77,40.99,0.01,0.09,0.067,0.492,0.556,0.0,1.5,,
0.35,0.3,1.8,1.77,40.99,0.01,0.1,0.083,0.492,0.333,0.0,1.5,,
0.4,0.34,1.82,1.78,41.0,0.02,0.12,0.094,0.494,0.222,0.056,1.5,,
0.45,0.35,1.85,1.79,41.0,0.02,0.14,0.097,0.497,0.056,0.056,1.5,,
0.5,0.36,1.88,1.8,41.0,0.03,0.15,0.1,0.5,0.056,0.056,1.5,,
0.55,0.19,1.92,1.81,41.01,0.03,0.17,0.053,0.503,-0.944,0.056,1.5,,
0.6,0.23,1.97,1.83,41.02,0.04,0.19,0.064,0.508,0.222,0.111,1.5,,
0.65,0.07,2.02,1.86,41.03,0.04,0.21,0.019,0.517,-0.889,0.167,1.5,,
0.7,0.17,2.08,1.89,41.04,0.04,0.23,0.047,0.525,0.556,0.167,1.5,,
0.75,0.04,2.15,1.93,41.06,0.04,0.26,0.011,0.536,-0.722,0.222,1.5,,
0.8,0.15,2.22,1.97,41.08,0.04,0.28,0.042,0.547,0.611,0.222,1.5,,
0.85,0.03,2.3,2.02,41.09,0.04,0.3,0.008,0.561,-0.667,0.278,1.5,,
0.9,0.15,2.38,2.08,41.12,0.04,0.33,0.042,0.578,0.667,0.333,1.5,,
0.95,0.04,2.47,2.14,41.14,0.04,0.36,0.011,0.594,-0.611,0.333,1.5,,
1.0,0.16,2.56,2.21,41.16,0.05,0.39,0.044,0.614,0.667,0.389,1.5,,
1.05,0.05,2.66,2.28,41.19,0.05,0.42,0.014,0.633,-0.611,0.389,1.5,,
1.1,0.18,2.76,2.36,41.22,0.05,0.45,0.05,0.656,0.722,0.444,1.5,,
1.15,0.07,2.87,2.44,41.25,0.05,0.49,0.019,0.678,-0.611,0.444,1.5,,
