Time (s),Ego Speed (km/h),Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m)
0.0,8.17,8.82,16.01,0.0,0.0
0.05,4.18,10.58,16.01,0.08,0.14
0.1,1.82,10.75,16.01,0.11,0.29
0.15,0.48,7.77,16.01,0.13,0.42
0.2,0.23,4.89,16.01,0.13,0.5
0.25,0.57,0.29,16.01,0.13,0.53
0.3,0.69,1.26,16.01,0.14,0.54
0.35,0.69,1.82,16.01,0.15,0.56
0.4,0.63,2.03,16.01,0.16,0.59
0.45,0.55,1.97,16.01,0.17,0.62
0.5,0.46,1.73,16.01,0.18,0.65
0.55,0.38,1.39,16.01,0.18,0.67
0.6,0.3,1.01,16.01,0.19,0.68
0.65,0.24,0.64,16.01,0.19,0.69
0.7,0.19,0.32,16.01,0.19,0.7
0.75,0.15,0.06,16.01,0.2,0.7
0.8,0.11,0.13,16.01,0.2,0.7
0.85,0.09,0.25,16.01,0.2,0.71
0.9,0.07,0.31,16.01,0.2,0.71
0.95,0.05,0.32,16.01,0.2,0.71
1.0,0.04,0.29,16.01,0.2,0.72
1.05,0.03,0.24,16.01,0.2,0.72
1.1,0.02,0.19,16.01,0.2,0.72
1.15,0.0,0.13,16.01,0.2,0.73
1.2,0.0,0.07,16.01,0.2,0.73
1.25,0.0,0.03,16.01,0.2,0.73
1.3,0.0,0.01,16.01,0.2,0.73
1.35,0.0,0.03,16.01,0.2,0.73
1.4,0.0,0.0,16.01,0.2,0.73
1.45,0.0,0.0,16.01,0.2,0.73
1.5,0.0,0.0,16.01,0.2,0.73
1.55,0.0,0.0,16.01,0.2,0.73
1.6,0.0,0.0,16.01,0.2,0.73
1.65,0.0,0.0,16.01,0.2,0.73
1.7,0.0,0.0,16.01,0.2,0.73
1.75,0.0,0.0,16.01,0.2,0.73
1.8,0.0,0.0,16.01,0.2,0.73
1.85,0.0,0.0,16.01,0.2,0.73
1.9,0.0,0.0,16.01,0.2,0.73
1.95,0.0,0.0,16.01,0.2,0.73
2.0,0.0,0.0,16.01,0.2,0.73
2.05,0.0,0.0,16.01,0.2,0.73
2.1,0.0,0.0,16.01,0.2,0.73
2.15,0.0,0.0,16.01,0.2,0.73
2.2,0.0,0.0,16.01,0.2,0.73
2.25,0.0,0.0,16.01,0.2,0.73
2.3,0.0,0.0,16.01,0.2,0.73
2.35,0.0,0.0,16.01,0.2,0.73
2.4,0.0,0.0,16.01,0.2,0.73
2.45,0.0,0.0,16.01,0.2,0.73
2.5,0.0,0.0,16.01,0.2,0.73
2.55,0.0,0.0,16.01,0.2,0.73
2.6,0.0,0.0,16.01,0.2,0.73
2.65,0.0,0.0,16.01,0.2,0.73
2.7,0.0,0.0,16.01,0.2,0.73
2.75,0.0,0.0,16.01,0.2,0.73
2.8,0.0,0.0,16.01,0.2,0.73
2.85,0.0,0.0,16.01,0.2,0.73
2.9,0.0,0.0,16.01,0.2,0.73
2.95,0.0,0.0,16.01,0.2,0.73
3.0,0.0,0.0,16.01,0.2,0.73
3.05,0.0,0.0,16.01,0.2,0.73
3.1,0.0,0.0,16.01,0.2,0.73
3.15,0.0,0.0,16.01,0.2,0.73
3.2,0.0,0.0,16.01,0.2,0.73
3.25,0.0,0.0,16.01,0.2,0.73
3.3,0.0,0.0,16.01,0.2,0.73
3.35,0.0,0.0,16.01,0.2,0.73
3.4,0.0,0.0,16.01,0.2,0.73
3.45,0.0,0.0,16.01,0.2,0.73
3.5,0.0,0.0,16.01,0.2,0.73
3.55,0.0,0.0,16.01,0.2,0.73
3.6,0.0,0.0,16.01,0.2,0.73
3.65,0.0,0.0,16.01,0.2,0.73
3.7,0.0,0.0,16.01,0.2,0.73
3.75,0.0,0.0,16.01,0.2,0.73
3.8,0.0,0.0,16.01,0.2,0.73
3.85,0.0,0.0,16.01,0.2,0.73
3.9,0.0,0.0,16.01,0.2,0.73
3.95,0.0,0.0,16.01,0.2,0.73
4.0,0.0,0.0,16.01,0.2,0.73
4.05,0.0,0.0,16.01,0.2,0.73
4.1,0.0,0.0,16.01,0.2,0.73
4.15,0.0,0.0,16.01,0.2,0.73
4.2,0.0,0.0,16.01,0.2,0.73
4.25,0.0,0.0,16.01,0.2,0.73
4.3,0.0,0.0,16.01,0.2,0.73
4.35,0.0,0.0,16.01,0.2,0.73
4.4,0.0,0.0,16.01,0.2,0.73
4.45,0.0,0.0,16.01,0.2,0.73
4.5,0.0,0.0,16.01,0.2,0.73
4.55,0.0,0.0,16.01,0.2,0.73
4.6,0.0,0.0,16.01,0.2,0.73
4.65,0.0,0.0,16.01,0.2,0.73
4.7,0.0,0.0,16.01,0.2,0.73
4.75,0.0,0.0,16.01,0.2,0.73
4.8,0.0,0.0,16.01,0.2,0.73
4.85,0.0,0.0,16.01,0.2,0.73
4.9,0.0,0.0,16.01,0.2,0.73
4.95,0.0,0.0,16.01,0.2,0.73
5.0,0.0,0.0,16.01,0.2,0.73
5.05,0.0,0.0,16.01,0.2,0.73
5.1,0.0,0.0,16.01,0.2,0.73
5.15,0.0,0.0,16.01,0.2,0.73
5.2,0.0,0.0,16.01,0.2,0.73
5.25,0.0,0.0,16.01,0.2,0.73
5.3,0.0,0.0,16.01,0.2,0.73
5.35,0.01,0.0,16.01,0.2,0.73
5.4,0.01,0.0,16.01,0.2,0.73
5.45,0.01,0.0,16.01,0.2,0.73
5.5,0.01,0.0,16.01,0.2,0.73
5.55,0.03,0.0,16.01,0.2,0.73
5.6,0.01,0.0,16.01,0.2,0.73
5.65,0.02,0.0,16.01,0.2,0.73
5.7,0.02,0.0,16.01,0.2,0.73
5.75,0.01,0.0,16.01,0.2,0.73
5.8,0.04,0.0,16.01,0.2,0.73
5.85,0.01,0.0,16.0,0.2,0.73
5.9,0.06,0.0,16.0,0.2,0.73
5.95,0.04,0.0,16.0,0.21,0.73
6.0,0.08,0.0,16.0,0.21,0.73
6.05,0.07,0.0,16.0,0.21,0.73
6.1,0.11,0.0,16.0,0.21,0.73
6.15,0.1,0.0,16.0,0.21,0.73
6.2,0.15,0.0,16.0,0.21,0.73
6.25,0.14,0.0,16.0,0.21,0.73
6.3,0.19,0.0,15.99,0.22,0.73
6.35,0.18,0.0,15.99,0.22,0.73
6.4,0.23,0.0,15.99,0.22,0.73
6.45,0.23,0.0,15.98,0.22,0.73
6.5,0.56,0.0,15.98,0.23,0.73
6.55,0.87,0.0,15.97,0.24,0.73
6.6,1.17,0.0,15.95,0.26,0.73
6.65,1.34,9.7,16.07,0.27,0.87
6.7,1.49,10.23,16.19,0.29,1.01
6.75,1.66,9.76,16.31,0.32,1.14
6.8,1.7,10.23,16.42,0.34,1.28
6.85,1.84,9.76,16.54,0.36,1.42
6.9,1.95,10.23,16.65,0.39,1.56
6.95,2.14,9.76,16.76,0.42,1.7
7.0,2.19,10.23,16.87,0.45,1.84
7.05,2.36,9.76,16.98,0.48,1.98
7.1,2.45,10.23,17.08,0.51,2.12
7.15,2.48,9.76,17.19,0.55,2.25
7.2,2.53,10.23,17.29,0.58,2.39
7.25,2.63,9.76,17.39,0.62,2.53
7.3,2.75,10.23,17.5,0.66,2.67
7.35,2.9,9.76,17.59,0.69,2.81
7.4,3.07,10.23,17.69,0.74,2.95
7.45,3.26,9.76,17.79,0.78,3.09
7.5,3.44,10.23,17.88,0.83,3.23
7.55,3.62,9.76,17.97,0.88,3.37
7.6,3.76,10.23,18.06,0.93,3.51
7.65,3.89,9.76,18.14,0.98,3.64
7.7,4.01,10.23,18.23,1.04,3.78
7.75,4.1,9.76,18.31,1.09,3.92
7.8,4.17,10.23,18.39,1.15,4.06
7.85,4.24,9.76,18.47,1.21,4.2
7.9,4.31,10.23,18.55,1.27,4.34
7.95,4.43,9.76,18.63,1.33,4.48
8.0,4.58,10.23,18.7,1.39,4.62
8.05,4.77,9.76,18.78,1.46,4.75
8.1,4.96,10.23,18.85,1.52,4.89
8.15,5.14,9.76,18.92,1.59,5.03
8.2,5.3,10.23,18.98,1.67,5.17
8.25,5.41,9.76,19.05,1.74,5.31
8.3,5.5,10.23,19.11,1.82,5.45
8.35,5.62,9.76,19.17,1.9,5.59
8.4,5.77,10.23,19.23,1.98,5.73
8.45,5.95,9.76,19.29,2.06,5.86
8.5,6.13,10.23,19.34,2.14,6.01
8.55,6.32,9.76,19.4,2.23,6.14
8.6,6.49,10.23,19.45,2.32,6.28
8.65,6.65,9.76,19.49,2.41,6.42
8.7,6.83,10.23,19.54,2.5,6.56
8.75,7.01,9.76,19.58,2.6,6.7
8.8,7.19,10.23,19.62,2.7,6.84
8.85,7.36,9.76,19.66,2.8,6.98
8.9,7.52,10.23,19.69,2.9,7.12
8.95,7.67,9.76,19.73,3.01,7.25
9.0,7.82,10.23,19.76,3.12,7.39
9.05,7.97,9.76,19.79,3.23,7.53
9.1,8.09,10.23,19.82,3.34,7.67
9.15,8.18,9.76,19.84,3.45,7.81
9.2,8.25,10.23,19.87,3.56,7.95
9.25,8.32,9.76,19.89,3.68,8.09
9.3,8.41,10.23,19.91,3.8,8.23
9.35,8.53,9.76,19.93,3.91,8.36
9.4,8.67,10.23,19.96,4.03,8.51
9.45,8.84,9.76,19.97,4.16,8.64
9.5,9.01,10.23,19.99,4.28,8.78
9.55,9.18,9.76,20.0,4.41,8.92
9.6,9.34,10.23,20.01,4.53,9.06
9.65,9.5,9.76,20.02,4.67,9.2
9.7,9.64,10.23,20.02,4.8,9.34
9.75,9.77,9.76,20.03,4.93,9.48
9.8,9.88,10.23,20.03,5.07,9.62
9.85,9.99,9.76,20.03,5.21,9.75
9.9,10.13,10.23,20.03,5.35,9.89
9.95,10.29,9.76,20.03,5.49,10.03
10.0,10.46,10.23,20.02,5.63,10.17
10.05,10.63,9.76,20.01,5.78,10.31
10.1,10.81,10.23,20.0,5.93,10.45
10.15,10.98,9.76,19.99,6.08,10.59
10.2,11.14,10.23,19.98,6.24,10.73
10.25,11.29,9.76,19.96,6.39,10.86
10.3,11.43,10.23,19.94,6.55,11.01
10.35,11.56,9.76,19.92,6.71,11.14
10.4,11.69,10.23,19.9,6.87,11.28
10.45,11.83,9.76,19.87,7.03,11.42
10.5,11.97,10.23,19.85,7.2,11.56
10.55,12.11,9.76,19.82,7.37,11.7
10.6,12.27,10.23,19.79,7.54,11.84
10.65,12.43,9.76,19.75,7.71,11.98
10.7,12.59,10.23,19.72,7.88,12.12
10.75,12.76,9.76,19.68,8.06,12.25
10.8,12.92,10.23,19.64,8.24,12.39
10.85,13.06,9.76,19.6,8.42,12.53
10.9,13.15,10.23,19.56,8.6,12.67
10.95,13.2,9.76,19.51,8.78,12.81
11.0,13.24,10.23,19.47,8.97,12.95
11.05,13.29,9.76,19.42,9.15,13.09
11.1,13.37,10.23,19.38,9.34,13.23
11.15,13.49,9.76,19.33,9.52,13.36
11.2,13.64,10.23,19.28,9.71,13.51
11.25,13.82,9.76,19.23,9.9,13.64
11.3,14.0,10.23,19.18,10.1,13.78
11.35,14.2,9.76,19.12,10.29,13.92
11.4,14.38,10.23,19.06,10.49,14.06
11.45,14.54,9.76,18.99,10.69,14.2
11.5,14.69,10.23,18.93,10.9,14.34
11.55,14.8,9.76,18.86,11.1,14.48
11.6,14.9,10.23,18.8,11.31,14.62
11.65,15.01,9.76,18.73,11.51,14.75
11.7,15.14,10.23,18.66,11.72,14.89
11.75,15.3,9.76,18.59,11.94,15.03
11.8,15.47,10.23,18.51,12.15,15.17
11.85,15.65,9.76,18.43,12.37,15.31
11.9,15.84,10.23,18.35,12.58,15.45
11.95,16.01,9.76,18.27,12.81,15.59
12.0,16.15,10.23,18.19,13.03,15.73
12.05,16.25,9.76,18.1,13.26,15.86
12.1,16.29,10.23,18.01,13.48,16.01
12.15,16.28,9.76,17.92,13.71,16.14
12.2,16.23,10.23,17.84,13.93,16.28
12.25,16.17,9.76,17.75,14.16,16.42
12.3,16.13,10.23,17.67,14.38,16.56
12.35,16.12,9.76,17.58,14.61,16.7
12.4,16.14,10.23,17.5,14.83,16.84
12.45,16.18,9.76,17.41,15.05,16.98
12.5,16.24,10.23,17.33,15.28,17.12
12.55,16.3,9.76,17.24,15.51,17.25
12.6,16.34,10.23,17.15,15.73,17.39
12.65,16.33,9.76,17.06,15.96,17.53
12.7,16.26,10.23,16.98,16.19,17.67
12.75,16.17,9.76,16.89,16.41,17.81
12.8,16.06,10.23,16.8,16.63,17.95
12.85,15.97,9.76,16.72,16.86,18.09
12.9,15.92,10.23,16.64,17.08,18.23
12.95,15.89,9.76,16.56,17.3,18.36
13.0,15.88,10.23,16.48,17.52,18.51
13.05,15.88,9.76,16.39,17.74,18.64
13.1,15.89,10.23,16.31,17.96,18.78
13.15,15.89,9.76,16.23,18.18,18.92
13.2,15.86,10.23,16.15,18.4,19.06
13.25,15.8,9.76,16.07,18.62,19.2
13.3,15.71,10.23,15.99,18.84,19.34
13.35,15.6,9.76,15.91,19.06,19.48
13.4,15.46,10.23,15.83,19.27,19.62
13.45,15.32,9.76,15.76,19.49,19.75
13.5,15.19,10.23,15.69,19.7,19.89
13.55,15.08,9.76,15.61,19.91,20.03
13.6,15.0,10.23,15.54,20.12,20.17
13.65,14.95,9.76,15.47,20.32,20.31
13.7,14.91,10.23,15.41,20.53,20.45
13.75,14.85,9.76,15.34,20.74,20.59
13.8,14.77,10.23,15.27,20.94,20.73
13.85,14.67,9.76,15.21,21.15,20.86
13.9,14.55,10.23,15.14,21.35,21.01
13.95,14.41,9.76,15.08,21.55,21.14
14.0,14.25,10.23,15.02,21.75,21.28
14.05,14.08,9.76,14.96,21.95,21.42
14.1,13.92,10.23,14.91,22.14,21.56
14.15,13.79,9.76,14.85,22.33,21.7
14.2,13.66,10.23,14.8,22.52,21.84
14.25,13.5,9.76,14.75,22.71,21.98
14.3,13.3,10.23,14.71,22.9,22.12
