Time (s),Ego Speed (km/h),Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m)
0.0,8.81,7.06,16.01,0.0,0.0
0.05,8.17,8.82,16.01,0.13,0.11
0.1,4.18,10.58,16.01,0.21,0.25
0.15,1.82,10.75,16.01,0.24,0.41
0.2,0.49,7.77,16.01,0.26,0.53
0.25,0.23,4.89,16.0,0.26,0.61
0.3,0.57,0.29,16.0,0.26,0.64
0.35,0.69,1.26,16.0,0.27,0.65
0.4,0.69,1.82,16.0,0.28,0.68
0.45,0.63,2.03,16.0,0.29,0.7
0.5,0.55,1.97,16.0,0.3,0.73
0.55,0.46,1.73,16.0,0.31,0.76
0.6,0.38,1.39,16.0,0.31,0.78
0.65,0.3,1.01,16.0,0.32,0.8
0.7,0.24,0.64,16.0,0.32,0.81
0.75,0.19,0.32,16.0,0.32,0.81
0.8,0.15,0.06,16.0,0.33,0.81
0.85,0.11,0.13,16.0,0.33,0.82
0.9,0.09,0.25,16.0,0.33,0.82
0.95,0.07,0.31,16.0,0.33,0.82
1.0,0.05,0.32,16.0,0.33,0.83
1.05,0.04,0.29,16.0,0.33,0.83
1.1,0.03,0.24,16.0,0.33,0.83
1.15,0.02,0.19,16.0,0.33,0.84
1.2,0.02,0.13,16.0,0.33,0.84
1.25,0.01,0.07,16.0,0.33,0.84
1.3,0.01,0.03,16.0,0.33,0.84
1.35,0.01,0.01,16.0,0.33,0.84
1.4,0.0,0.03,16.0,0.33,0.84
1.45,0.0,0.0,16.0,0.33,0.84
1.5,0.0,0.0,16.0,0.33,0.84
1.55,0.0,0.0,16.0,0.33,0.84
1.6,0.0,0.0,16.0,0.33,0.84
1.65,0.0,0.0,16.0,0.33,0.84
1.7,0.0,0.0,16.0,0.33,0.84
1.75,0.0,0.0,16.0,0.33,0.84
1.8,0.0,0.0,16.0,0.33,0.84
1.85,0.0,0.0,16.0,0.33,0.84
1.9,0.0,0.0,16.0,0.33,0.84
1.95,0.0,0.0,16.0,0.33,0.84
2.0,0.0,0.0,16.0,0.33,0.84
2.05,0.0,0.0,16.0,0.33,0.84
2.1,0.0,0.0,16.0,0.33,0.84
2.15,0.0,0.0,16.0,0.33,0.84
2.2,0.0,0.0,16.0,0.33,0.84
2.25,0.0,0.0,16.0,0.33,0.84
2.3,0.0,0.0,16.0,0.33,0.84
2.35,0.0,0.0,16.0,0.33,0.84
2.4,0.0,0.0,16.0,0.33,0.84
2.45,0.0,0.0,16.0,0.33,0.84
2.5,0.0,0.0,16.0,0.33,0.84
2.55,0.0,0.0,16.0,0.33,0.84
2.6,0.0,0.0,16.0,0.33,0.84
2.65,0.0,0.0,16.0,0.33,0.84
2.7,0.0,0.0,16.0,0.33,0.84
2.75,0.0,0.0,16.0,0.33,0.84
2.8,0.0,0.0,16.0,0.33,0.84
2.85,0.0,0.0,16.0,0.33,0.84
2.9,0.0,0.0,16.0,0.33,0.84
2.95,0.0,0.0,16.0,0.33,0.84
3.0,0.0,0.0,16.0,0.33,0.84
3.05,0.0,0.0,16.0,0.33,0.84
3.1,0.0,0.0,16.0,0.33,0.84
3.15,0.0,0.0,16.0,0.33,0.84
3.2,0.0,0.0,16.0,0.33,0.84
3.25,0.0,0.0,16.0,0.33,0.84
3.3,0.0,0.0,16.0,0.33,0.84
3.35,0.0,0.0,16.0,0.33,0.84
3.4,0.0,0.0,16.0,0.33,0.84
3.45,0.0,0.0,16.0,0.33,0.84
3.5,0.0,0.0,16.0,0.33,0.84
3.55,0.0,0.0,16.0,0.33,0.84
3.6,0.0,0.0,16.0,0.33,0.84
3.65,0.0,0.0,16.0,0.33,0.84
