Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
5.0,9.14,2.539,10.23,2.778,10.0,1.0,0.0,0.0,4.12,7.68,18.81,1.0,,0.6559115000000002
5.05,9.31,2.586,9.76,2.778,10.0,0.944,0.0,0.0,4.25,7.82,18.82,,,0.7764429999999996
5.1,9.48,2.633,10.23,2.778,10.0,0.944,0.0,0.0,4.38,7.96,18.83,,,0.8991834999999999
5.15,9.64,2.678,9.76,2.778,10.0,0.889,0.0,0.0,4.51,8.1,18.84,,,1.0187709999999996
5.2,9.77,2.714,10.23,2.778,10.0,0.722,0.0,0.0,4.65,8.24,18.84,,,1.1158989999999998
5.25,9.89,2.747,9.76,2.778,10.0,0.667,0.0,0.0,4.79,8.37,18.84,,,1.2060714999999993
5.3,10.02,2.783,10.23,2.778,10.0,0.722,0.0,0.0,4.93,8.51,18.85,,,1.3056834999999998
5.35,10.17,2.825,9.76,2.778,10.0,0.833,0.0,0.0,5.07,8.65,18.84,,,1.4235355000000003
5.4,10.34,2.872,10.23,2.778,10.0,0.944,0.0,0.0,5.21,8.79,18.84,,,1.5575089999999991
5.45,10.51,2.919,9.76,2.778,10.0,0.944,0.0,0.0,5.35,8.93,18.83,,,1.6936914999999995
5.5,10.67,2.964,10.23,2.778,10.0,0.889,0.0,0.0,5.5,9.07,18.83,,,1.8261489999999996
5.55,10.83,3.008,9.76,2.778,10.0,0.889,0.0,0.0,5.65,9.21,18.82,,,1.957621
5.6,11.01,3.058,10.23,2.778,10.0,1.0,0.0,0.0,5.8,9.35,18.8,,,2.109370999999999
5.65,11.21,3.114,9.76,2.778,10.0,1.111,0.0,0.0,5.96,9.48,18.79,,,2.2822989999999987
5.7,11.43,3.175,10.23,2.778,10.0,1.222,0.0,0.0,6.11,9.63,18.77,,,2.4742354999999994
5.75,11.64,3.233,9.76,2.778,10.0,1.167,0.0,0.0,6.27,9.76,18.75,,,2.6601835
5.8,11.81,3.281,10.23,2.778,10.0,0.944,0.0,0.0,6.44,9.9,18.73,,,2.8166154999999997
5.85,11.96,3.322,9.76,2.778,10.0,0.833,0.0,0.0,6.6,10.04,18.7,,,2.9520590000000007
5.9,12.09,3.358,10.23,2.778,10.0,0.722,0.0,0.0,6.77,10.18,18.67,,,3.072371
5.95,12.22,3.394,9.76,2.778,10.0,0.722,0.0,0.0,6.94,10.32,18.64,,,3.193979
6.0,12.37,3.436,10.23,2.778,10.0,0.833,0.0,0.0,7.11,10.46,18.61,,,3.337493
6.05,12.53,3.481,9.76,2.778,10.0,0.889,0.0,0.0,7.28,10.6,18.57,,,3.4932154999999994
6.1,12.72,3.533,10.23,2.778,10.0,1.056,0.0,0.0,7.46,10.74,18.54,,,3.6756834999999994
6.15,12.91,3.586,9.76,2.778,10.0,1.056,0.0,0.0,7.64,10.87,18.5,,,3.864442999999999
6.2,13.1,3.639,10.23,2.778,10.0,1.056,0.0,0.0,7.82,11.01,18.46,,,4.0560114999999985
6.25,13.27,3.686,9.76,2.778,10.0,0.944,0.0,0.0,8.0,11.15,18.41,,,4.228242999999999
6.3,13.41,3.725,10.23,2.778,10.0,0.778,0.0,0.0,8.19,11.29,18.37,,,4.372835499999999
6.35,13.56,3.767,9.76,2.778,10.0,0.833,0.0,0.0,8.37,11.43,18.32,,,4.5302515
6.4,13.7,3.806,10.23,2.778,10.0,0.778,0.0,0.0,8.56,11.57,18.27,,,4.678002999999999
6.45,13.84,3.844,9.76,2.778,10.0,0.778,0.0,0.0,8.76,11.71,18.21,,,4.823428999999999
6.5,13.99,3.886,10.23,2.778,10.0,0.833,0.0,0.0,8.95,11.85,18.16,,,4.985843000000001
6.55,14.14,3.928,9.76,2.778,10.0,0.833,0.0,0.0,9.14,11.98,18.1,,,5.150020999999999
6.6,14.32,3.978,10.23,2.778,10.0,1.0,0.0,0.0,9.34,12.13,18.05,,,5.347771
6.65,14.51,4.031,9.76,2.778,10.0,1.056,0.0,0.0,9.54,12.26,17.98,,,5.5601155
6.7,14.69,4.081,10.23,2.778,10.0,1.0,0.0,0.0,9.75,12.4,17.92,,,5.763015500000002
6.75,14.85,4.125,9.76,2.778,10.0,0.889,0.0,0.0,9.95,12.54,17.85,,,5.943635500000001
6.8,15.02,4.172,10.23,2.778,10.0,0.944,0.0,0.0,10.16,12.68,17.79,,,6.138708999999999
6.85,15.16,4.211,9.76,2.778,10.0,0.778,0.0,0.0,10.37,12.82,17.71,,,6.302255500000003
6.9,15.27,4.242,10.23,2.778,10.0,0.611,0.0,0.0,10.58,12.96,17.64,,,6.433339000000002
6.95,15.33,4.258,9.76,2.778,10.0,0.333,0.0,0.0,10.79,13.1,17.57,,,6.5013710000000025
7.0,15.36,4.267,10.23,2.778,10.0,0.167,0.0,0.0,11.0,13.24,17.49,,,6.539751500000001
7.05,15.37,4.269,9.76,2.778,10.0,0.056,0.0,0.0,11.22,13.37,17.42,,,6.548291500000001
7.1,15.35,4.264,10.23,2.778,10.0,-0.111,0.0,0.0,11.43,13.51,17.35,,,6.526949000000002
7.15,15.33,4.258,9.76,2.778,10.0,-0.111,0.0,0.0,11.65,13.65,17.27,,,6.5013710000000025
7.2,15.31,4.253,10.23,2.778,10.0,-0.111,0.0,0.0,11.86,13.79,17.2,,,6.480083500000003
7.25,15.31,4.253,9.76,2.778,10.0,0.0,0.0,0.0,12.07,13.93,17.12,,,6.480083500000003
7.3,15.31,4.253,10.23,2.778,10.0,0.0,0.0,0.0,12.28,14.07,17.05,,,6.480083500000003
7.35,15.32,4.256,9.76,2.778,10.0,0.056,0.0,0.0,12.5,14.21,16.97,,,6.492853000000002
7.4,15.33,4.258,10.23,2.778,10.0,0.056,0.0,0.0,12.71,14.35,16.9,,,6.5013710000000025
7.45,15.33,4.258,9.76,2.778,10.0,0.0,0.0,0.0,12.92,14.48,16.83,,,6.5013710000000025
7.5,15.31,4.253,10.23,2.778,10.0,-0.111,0.0,0.0,13.13,14.63,16.76,,,6.480083500000003
7.55,15.29,4.247,9.76,2.778,10.0,-0.111,0.0,0.0,13.35,14.76,16.68,,,6.4545715
7.6,15.25,4.236,10.23,2.778,10.0,-0.222,0.0,0.0,13.56,14.9,16.61,,,6.407893
7.65,15.2,4.222,9.76,2.778,10.0,-0.278,0.0,0.0,13.77,15.04,16.53,,,6.348659000000001
7.7,15.14,4.206,10.23,2.778,10.0,-0.333,0.0,0.0,13.98,15.18,16.46,,,6.281203000000003
7.75,15.07,4.186,9.76,2.778,10.0,-0.389,0.0,0.0,14.19,15.32,16.39,,,6.197243
7.8,15.0,4.167,10.23,2.778,10.0,-0.389,0.0,0.0,14.4,15.46,16.32,,,6.1178515
7.85,14.93,4.147,9.76,2.778,10.0,-0.389,0.0,0.0,14.61,15.6,16.25,,,6.034671500000002
