Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,7.06,7.06,31.01,0.0,0.0,0.0,1.961,,,1.5,0.99,
0.05,0.0,8.82,7.94,31.01,0.0,0.11,0.0,2.206,0.0,4.889,1.5,,
0.1,0.0,10.58,8.82,31.0,0.0,0.25,0.0,2.45,0.0,4.889,1.5,,
0.15,0.0,10.75,9.3,31.0,0.0,0.41,0.0,2.583,0.0,2.667,1.5,,
0.2,0.0,7.77,9.0,31.0,0.0,0.53,0.0,2.5,0.0,-1.667,1.5,,
0.25,0.0,4.89,8.31,31.0,0.0,0.61,0.0,2.308,0.0,-3.833,1.5,,
0.3,0.0,0.29,7.17,31.0,0.0,0.64,0.0,1.992,0.0,-6.333,1.5,,
0.35,0.08,1.26,6.43,31.0,0.0,0.65,0.022,1.786,0.444,-4.111,1.5,,
0.4,0.05,0.96,5.82,31.0,0.0,0.66,0.014,1.617,-0.167,-3.389,1.5,,
0.45,0.06,0.91,5.33,31.0,0.0,0.67,0.017,1.481,0.056,-2.722,1.5,,
0.5,0.06,0.85,4.71,31.0,0.0,0.68,0.017,1.308,0.0,-3.444,1.5,,
0.55,0.05,0.8,3.91,31.0,0.0,0.69,0.014,1.086,-0.056,-4.444,1.5,,
0.6,0.07,0.75,2.92,31.0,0.0,0.69,0.019,0.811,0.111,-5.5,1.5,,
0.65,0.04,0.7,1.92,31.0,0.0,0.7,0.011,0.533,-0.167,-5.556,1.5,,
0.7,0.08,0.66,1.21,31.0,0.0,0.7,0.022,0.336,0.222,-3.944,1.5,,
0.75,0.03,0.62,0.78,31.0,0.0,0.71,0.008,0.217,-0.278,-2.389,1.5,,
0.8,0.1,0.58,0.81,31.0,0.0,0.71,0.028,0.225,0.389,0.167,1.5,,
