Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
0.0,0.0,8.82,8.82,26.01,0.0,0.0,0.0,2.45,,,1.5,4.09,
0.05,0.0,10.58,9.7,26.0,0.0,0.14,0.0,2.694,0.0,4.889,1.5,,
0.1,0.0,10.75,10.05,26.0,0.0,0.29,0.0,2.792,0.0,1.944,1.5,,
0.15,0.0,7.77,9.48,26.0,0.0,0.42,0.0,2.633,0.0,-3.167,1.5,,
0.2,0.0,4.89,8.56,26.0,0.0,0.5,0.0,2.378,0.0,-5.111,1.5,,
0.25,0.0,0.29,7.18,26.0,0.0,0.53,0.0,1.994,0.0,-7.667,1.5,,
0.3,0.0,1.26,6.34,26.0,0.0,0.54,0.0,1.761,0.0,-4.667,1.5,,
0.35,0.06,1.82,5.77,26.0,0.0,0.56,0.017,1.603,0.333,-3.167,1.5,,
0.4,0.06,0.79,5.22,26.0,0.0,0.57,0.017,1.45,0.0,-3.056,1.5,,
0.45,0.05,0.76,4.77,26.0,0.0,0.58,0.014,1.325,-0.056,-2.5,1.5,,
0.5,0.07,0.71,3.96,26.0,0.0,0.58,0.019,1.1,0.111,-4.5,1.5,,
0.55,0.04,0.67,2.97,26.0,0.0,0.59,0.011,0.825,-0.167,-5.5,1.5,,
0.6,0.08,0.63,1.96,26.0,0.0,0.6,0.022,0.544,0.222,-5.611,1.5,,
0.65,0.03,0.59,1.24,26.0,0.0,0.6,0.008,0.344,-0.278,-4.0,1.5,,
0.7,0.1,0.55,0.81,26.0,0.0,0.61,0.028,0.225,0.389,-2.389,1.5,,
0.75,0.01,0.52,0.83,26.0,0.0,0.61,0.003,0.231,-0.5,0.111,1.5,,
0.8,0.13,0.49,0.75,26.0,0.0,0.61,0.036,0.208,0.667,-0.444,1.5,,
0.85,0.02,0.46,0.62,26.0,0.0,0.62,0.006,0.172,-0.611,-0.722,1.5,,
0.9,0.16,0.43,0.58,26.0,0.01,0.62,0.044,0.161,0.778,-0.222,1.5,,
0.95,0.06,0.7,0.57,26.0,0.01,0.63,0.017,0.158,-0.556,-0.056,1.5,,
1.0,0.2,1.23,0.63,26.02,0.01,0.65,0.056,0.175,0.778,0.333,1.5,,
1.05,0.1,0.75,0.63,26.03,0.01,0.66,0.028,0.175,-0.556,0.0,1.5,,
1.1,0.24,1.44,0.71,26.04,0.01,0.68,0.067,0.197,0.778,0.444,1.5,,
1.15,0.15,0.96,0.75,26.05,0.02,0.69,0.042,0.208,-0.5,0.222,1.5,,
1.2,0.3,1.66,0.86,26.07,0.02,0.72,0.083,0.239,0.833,0.611,1.5,,
1.25,0.49,1.19,0.93,26.09,0.02,0.73,0.136,0.258,1.056,0.389,1.5,,
1.3,0.59,1.91,1.07,26.1,0.03,0.76,0.164,0.297,0.556,0.778,1.5,,
1.35,0.65,1.44,1.17,26.12,0.04,0.78,0.181,0.325,0.333,0.556,1.5,,
1.4,0.71,2.16,1.34,26.13,0.05,0.81,0.197,0.372,0.333,0.944,1.5,,
1.45,0.83,1.71,1.45,26.15,0.06,0.83,0.231,0.403,0.667,0.611,1.5,,
1.5,0.9,2.42,1.56,26.17,0.08,0.87,0.25,0.433,0.389,0.611,1.5,,
1.55,0.94,1.98,1.69,26.18,0.09,0.9,0.261,0.469,0.222,0.722,1.5,,
1.6,0.98,2.69,1.81,26.21,0.1,0.93,0.272,0.503,0.222,0.667,1.5,,
1.65,1.06,2.26,1.94,26.22,0.12,0.96,0.294,0.539,0.444,0.722,1.5,,
1.7,1.21,2.97,2.07,26.25,0.13,1.0,0.336,0.575,0.833,0.722,1.5,,
1.75,1.39,2.54,2.21,26.27,0.15,1.04,0.386,0.614,1.0,0.778,1.5,,
1.8,1.43,3.26,2.34,26.29,0.17,1.08,0.397,0.65,0.222,0.722,1.5,,
1.85,1.48,2.83,2.48,26.31,0.19,1.12,0.411,0.689,0.278,0.778,1.5,,
1.9,1.58,3.54,2.62,26.34,0.21,1.17,0.439,0.728,0.556,0.778,0.0,,
1.95,1.75,3.12,2.76,26.36,0.23,1.22,0.486,0.767,0.944,0.778,0.0,,
2.0,1.92,3.83,2.9,26.38,0.26,1.27,0.533,0.806,0.944,0.778,0.0,,
2.05,2.05,3.41,3.05,26.41,0.29,1.32,0.569,0.847,0.722,0.833,0.0,,
2.1,2.1,4.12,3.19,26.43,0.32,1.37,0.583,0.886,0.278,0.778,0.0,,
2.15,2.23,3.7,3.33,26.46,0.35,1.43,0.619,0.925,0.722,0.778,0.0,,
2.2,2.29,4.41,3.48,26.49,0.38,1.49,0.636,0.967,0.333,0.833,0.0,,
2.25,2.33,4.0,3.62,26.51,0.41,1.54,0.647,1.006,0.222,0.778,0.0,,
2.3,2.41,4.7,3.77,26.54,0.44,1.61,0.669,1.047,0.444,0.833,0.0,,
2.35,2.53,4.28,3.91,26.57,0.48,1.67,0.703,1.086,0.667,0.778,0.0,,
2.4,2.66,4.98,4.06,26.6,0.51,1.74,0.739,1.128,0.722,0.833,0.0,,
2.45,2.81,4.57,4.2,26.63,0.55,1.8,0.781,1.167,0.833,0.778,0.0,,
2.5,2.97,5.27,4.34,26.66,0.59,1.87,0.825,1.206,0.889,0.778,0.0,,
2.55,3.13,4.86,4.49,26.68,0.64,1.94,0.869,1.247,0.889,0.833,0.0,,
2.6,3.28,5.56,4.63,26.71,0.68,2.02,0.911,1.286,0.833,0.778,0.0,,
2.65,3.41,5.15,4.78,26.74,0.73,2.09,0.947,1.328,0.722,0.833,0.0,,
2.7,3.52,5.85,4.92,26.77,0.77,2.17,0.978,1.367,0.611,0.778,0.0,,
2.75,3.62,5.45,5.07,26.8,0.82,2.25,1.006,1.408,0.556,0.833,0.0,,
2.8,3.71,6.14,5.21,26.83,0.88,2.33,1.031,1.447,0.5,0.778,0.0,,
2.85,3.83,5.74,5.36,26.86,0.93,2.41,1.064,1.489,0.667,0.833,0.0,,
2.9,3.95,6.43,5.5,26.89,0.98,2.5,1.097,1.528,0.667,0.778,0.0,,
2.95,4.06,6.04,5.65,26.92,1.04,2.58,1.128,1.569,0.611,0.833,0.0,,
3.0,4.15,6.72,5.79,26.96,1.09,2.68,1.153,1.608,0.5,0.778,0.0,,
3.05,4.24,6.33,5.94,26.99,1.15,2.77,1.178,1.65,0.5,0.833,0.0,,
3.1,4.34,7.0,6.08,27.03,1.21,2.86,1.206,1.689,0.556,0.778,0.0,,
3.15,4.44,6.62,6.23,27.06,1.27,2.96,1.233,1.731,0.556,0.833,0.0,,
3.2,4.56,7.3,6.38,27.1,1.34,3.06,1.267,1.772,0.667,0.833,0.0,,
3.25,4.68,6.92,6.52,27.13,1.4,3.15,1.3,1.811,0.667,0.778,0.0,,
3.3,4.81,7.59,6.67,27.17,1.47,3.26,1.336,1.853,0.722,0.833,0.0,,
3.35,4.94,7.21,6.82,27.2,1.53,3.36,1.372,1.894,0.722,0.833,0.0,,
3.4,5.06,7.87,6.96,27.24,1.6,3.47,1.406,1.933,0.667,0.778,0.0,,
3.45,5.18,7.51,7.11,27.27,1.68,3.57,1.439,1.975,0.667,0.833,0.0,,
3.5,5.29,8.16,7.25,27.31,1.75,3.68,1.469,2.014,0.611,0.778,0.0,,
3.55,5.4,7.8,7.4,27.35,1.82,3.79,1.5,2.056,0.611,0.833,0.0,,
3.6,5.51,8.45,7.54,27.39,1.9,3.91,1.531,2.094,0.611,0.778,0.0,,
3.65,5.63,8.1,7.69,27.42,1.98,4.02,1.564,2.136,0.667,0.833,0.0,,
3.7,5.74,8.74,7.84,27.47,2.06,4.14,1.594,2.178,0.611,0.833,0.0,,
3.75,5.86,8.39,7.98,27.5,2.14,4.26,1.628,2.217,0.667,0.778,0.0,,
3.8,5.99,9.02,8.13,27.54,2.22,4.39,1.664,2.258,0.722,0.833,0.0,,
3.85,6.12,8.68,8.27,27.58,2.3,4.51,1.7,2.297,0.722,0.778,0.0,,
3.9,6.25,9.31,8.42,27.62,2.39,4.64,1.736,2.339,0.722,0.833,0.0,,
3.95,6.38,8.96,8.56,27.66,2.48,4.76,1.772,2.378,0.722,0.778,0.0,,
4.0,6.5,9.59,8.7,27.71,2.57,4.89,1.806,2.417,0.667,0.778,0.0,,
4.05,6.63,9.25,8.85,27.74,2.66,5.02,1.842,2.458,0.722,0.833,0.0,,
4.1,6.76,9.88,8.99,27.79,2.75,5.16,1.878,2.497,0.722,0.778,0.0,,
4.15,6.89,9.55,9.14,27.83,2.85,5.29,1.914,2.539,0.722,0.833,0.0,,
4.2,7.02,10.16,9.28,27.87,2.94,5.43,1.95,2.578,0.722,0.778,0.0,,
4.25,7.13,9.84,9.42,27.91,3.04,5.57,1.981,2.617,0.611,0.778,0.0,,
4.3,7.24,10.45,9.57,27.95,3.14,5.71,2.011,2.658,0.611,0.833,0.0,,
4.35,7.37,10.13,9.71,27.99,3.24,5.86,2.047,2.697,0.722,0.778,0.0,,
4.4,7.51,10.74,9.86,28.04,3.35,6.0,2.086,2.739,0.778,0.833,0.0,,
4.45,7.66,10.43,10.0,28.08,3.45,6.15,2.128,2.778,0.833,0.778,0.0,,
4.5,7.81,11.03,10.15,28.12,3.56,6.3,2.169,2.819,0.833,0.833,0.0,,
4.55,7.96,10.72,10.29,28.16,3.67,6.45,2.211,2.858,0.833,0.778,0.0,,
4.6,8.11,11.32,10.44,28.21,3.78,6.61,2.253,2.9,0.833,0.833,0.0,,
4.65,8.23,11.01,10.58,28.25,3.89,6.76,2.286,2.939,0.667,0.778,0.0,,
4.7,8.35,11.6,10.73,28.29,4.01,6.92,2.319,2.981,0.667,0.833,0.0,,
4.75,8.46,11.3,10.87,28.33,4.13,7.08,2.35,3.019,0.611,0.778,0.0,,
4.8,8.58,11.89,11.02,28.38,4.24,7.24,2.383,3.061,0.667,0.833,0.0,,
4.85,8.72,11.59,11.16,28.42,4.37,7.41,2.422,3.1,0.778,0.778,0.0,,
4.9,8.88,12.18,11.31,28.47,4.49,7.58,2.467,3.142,0.889,0.833,0.0,,
4.95,9.05,11.89,11.45,28.51,4.61,7.74,2.514,3.181,0.944,0.778,0.0,,
5.0,9.21,12.46,11.6,28.56,4.74,7.91,2.558,3.222,0.889,0.833,0.0,,
5.05,9.37,12.18,11.74,28.6,4.87,8.08,2.603,3.261,0.889,0.778,0.0,,
5.1,9.52,12.76,11.89,28.64,5.0,8.26,2.644,3.303,0.833,0.833,0.0,,
5.15,9.66,12.48,12.03,28.68,5.13,8.43,2.683,3.342,0.778,0.778,0.0,,
5.2,9.8,13.05,12.18,28.73,5.27,8.61,2.722,3.383,0.778,0.833,0.0,,
5.25,9.93,12.78,12.32,28.77,5.41,8.79,2.758,3.422,0.722,0.778,0.0,,
5.3,10.06,13.34,12.47,28.82,5.55,8.98,2.794,3.464,0.722,0.833,0.0,,
5.35,10.19,13.07,12.62,28.86,5.69,9.16,2.831,3.506,0.722,0.833,0.0,,
5.4,10.33,13.62,12.76,28.9,5.83,9.35,2.869,3.544,0.778,0.778,0.0,,
5.45,10.47,13.36,12.91,28.94,5.97,9.53,2.908,3.586,0.778,0.833,0.0,,
5.5,10.62,13.91,13.05,28.99,6.12,9.73,2.95,3.625,0.833,0.778,0.0,,
5.55,10.77,13.65,13.2,29.03,6.27,9.92,2.992,3.667,0.833,0.833,0.0,,
5.6,10.93,14.2,13.35,29.08,6.42,10.11,3.036,3.708,0.889,0.833,0.0,,
5.65,11.08,13.95,13.49,29.12,6.57,10.31,3.078,3.747,0.833,0.778,0.0,,
5.7,11.23,14.49,13.64,29.17,6.73,10.51,3.119,3.789,0.833,0.833,0.0,,
5.75,11.36,14.24,13.78,29.21,6.89,10.71,3.156,3.828,0.722,0.778,0.0,,
5.8,11.47,14.77,13.93,29.25,7.04,10.91,3.186,3.869,0.611,0.833,0.0,,
