Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
0.0,0.0,0.0,8.82,2.45,8.82,,,1.5,0.0,0.0,26.01,25.36,,0.0
0.05,0.0,0.0,10.58,2.7,9.7,0.005,4.9,1.5,0.0,0.14,26.0,,,0.0
0.1,0.0,0.0,10.75,2.79,10.05,0.002,1.936,1.5,0.0,0.29,26.0,,,0.0
0.15000000000000002,0.0,0.0,7.77,2.63,9.48,-0.004,-3.169,1.5,0.0,0.42,26.0,,,0.0
0.2,0.0,0.0,4.89,2.38,8.56,0.002,-5.095,1.5,0.0,0.5,26.0,,,0.0
0.25,0.0,0.0,0.29,2.0,7.18,0.001,-7.664,1.5,0.0,0.53,26.0,,,0.0
0.30000000000000004,0.0,0.0,1.26,1.76,6.34,-0.0,-4.701,1.5,0.0,0.54,26.0,,,0.0
0.35000000000000003,0.05,0.01,1.82,1.6,5.77,0.277,-3.138,1.5,0.0,0.56,26.0,,,0.0
0.4,0.07,0.02,0.79,1.45,5.22,0.101,-3.074,1.5,0.0,0.57,26.0,,,0.0
0.45,0.05,0.01,0.76,1.33,4.77,-0.117,-2.478,1.5,0.0,0.58,26.0,,,0.0
0.5,0.07,0.02,0.71,1.1,3.96,0.133,-4.504,1.5,0.0,0.58,26.0,,,0.0
0.55,0.04,0.01,0.67,0.83,2.97,-0.161,-5.509,1.5,0.0,0.59,26.0,,,0.0
0.6000000000000001,0.08,0.02,0.63,0.54,1.96,0.208,-5.622,1.5,0.0,0.6,26.0,,,0.0
0.65,0.03,0.01,0.59,0.34,1.24,-0.275,-3.989,1.5,0.0,0.6,26.0,,,0.0
0.7000000000000001,0.1,0.03,0.55,0.22,0.81,0.361,-2.412,1.5,0.0,0.61,26.0,,,0.0
0.75,0.01,0.0,0.52,0.23,0.83,-0.467,0.129,1.5,0.0,0.61,26.0,,,0.0
0.8,0.12,0.03,0.49,0.21,0.75,0.593,-0.43,1.5,0.0,0.61,26.0,,,0.0
0.8500000000000001,0.02,0.0,0.46,0.17,0.62,-0.574,-0.757,1.5,0.0,0.62,26.0,,,0.0
0.9,0.15,0.04,0.43,0.16,0.58,0.738,-0.203,1.5,0.01,0.62,26.0,,,0.0
0.9500000000000001,0.05,0.01,0.43,0.15,0.55,-0.554,-0.18,1.5,0.01,0.63,25.99,,,0.0
1.0,0.19,0.05,0.64,0.15,0.54,0.776,-0.038,1.5,0.01,0.64,26.0,,,0.0
1.05,0.11,0.03,1.32,0.17,0.61,-0.457,0.365,1.5,0.01,0.65,26.02,,,0.0
1.1,0.26,0.07,0.85,0.17,0.63,0.851,0.123,1.5,0.01,0.67,26.03,,,0.0
1.1500000000000001,0.29,0.08,1.55,0.2,0.72,0.178,0.533,1.5,0.02,0.69,26.04,,,0.0
1.2000000000000002,0.61,0.17,1.08,0.22,0.78,1.751,0.291,1.5,0.02,0.7,26.05,,,0.0
1.25,0.88,0.24,1.79,0.25,0.9,1.527,0.706,1.5,0.04,0.73,26.07,,,0.01
1.3,0.97,0.27,1.32,0.27,0.99,0.517,0.466,1.5,0.05,0.75,26.07,,,0.01
1.35,0.98,0.27,2.04,0.32,1.15,0.047,0.882,1.5,0.06,0.78,26.09,,,0.0
1.4000000000000001,1.01,0.28,1.59,0.35,1.26,0.134,0.646,1.5,0.08,0.8,26.09,,,0.0
1.4500000000000002,1.14,0.32,2.31,0.4,1.45,0.748,1.042,1.5,0.09,0.83,26.11,,,0.0
1.5,1.25,0.35,1.86,0.44,1.57,0.63,0.678,1.5,0.11,0.86,26.12,,,0.0
1.55,1.36,0.38,2.59,0.47,1.7,0.563,0.701,1.5,0.13,0.89,26.14,,,0.0
1.6,1.33,0.37,2.15,0.51,1.83,-0.14,0.724,1.5,0.15,0.92,26.15,,,0.0
1.6500000000000001,1.56,0.43,2.87,0.54,1.96,1.249,0.735,1.5,0.17,0.96,26.17,,,0.0
1.7000000000000002,1.68,0.47,2.44,0.58,2.1,0.719,0.76,1.5,0.19,1.0,26.18,,,0.0
1.75,1.77,0.49,3.16,0.62,2.23,0.466,0.764,1.5,0.21,1.04,26.2,,,0.0
1.8,2.1,0.58,2.74,0.66,2.38,1.85,0.788,1.5,0.24,1.08,26.21,,,0.03
1.85,2.17,0.6,3.46,0.7,2.52,0.407,0.787,1.5,0.27,1.12,26.23,,,0.02
1.9000000000000001,2.31,0.64,3.04,0.74,2.66,0.739,0.808,0.0,0.3,1.17,26.24,,,0.02
1.9500000000000002,2.4,0.67,3.76,0.78,2.81,0.525,0.806,0.0,0.33,1.22,26.26,,,0.02
2.0,2.58,0.72,3.35,0.82,2.96,0.96,0.825,0.0,0.37,1.27,26.27,,,0.03
2.0500000000000003,2.67,0.74,4.07,0.86,3.11,0.504,0.822,0.0,0.4,1.32,26.29,,,0.03
2.1,2.84,0.79,3.66,0.9,3.26,0.988,0.836,0.0,0.44,1.37,26.3,,,0.04
2.15,3.0,0.83,4.37,0.95,3.41,0.86,0.832,0.0,0.48,1.43,26.32,,,0.05
2.2,3.2,0.89,3.96,0.99,3.56,1.139,0.844,0.0,0.53,1.49,26.34,,,0.07
2.25,3.37,0.94,4.67,1.03,3.71,0.922,0.838,0.0,0.57,1.55,26.35,,,0.09
2.3000000000000003,3.56,0.99,4.27,1.07,3.86,1.049,0.848,0.0,0.62,1.61,26.36,,,0.11
2.35,3.7,1.03,4.98,1.11,4.01,0.781,0.842,0.0,0.67,1.68,26.38,,,0.12
2.4000000000000004,3.85,1.07,4.57,1.16,4.17,0.848,0.85,0.0,0.73,1.75,26.39,,,0.13
2.45,3.96,1.1,5.28,1.2,4.32,0.628,0.844,0.0,0.78,1.82,26.41,,,0.13
2.5,4.1,1.14,4.88,1.24,4.47,0.728,0.85,0.0,0.84,1.89,26.42,,,0.14
2.5500000000000003,4.2,1.17,5.58,1.28,4.62,0.605,0.843,0.0,0.89,1.96,26.44,,,0.13
2.6,4.34,1.21,5.18,1.33,4.77,0.751,0.849,0.0,0.95,2.04,26.46,,,0.14
2.6500000000000004,4.47,1.24,5.88,1.37,4.93,0.699,0.84,0.0,1.01,2.12,26.48,,,0.15
2.7,4.62,1.28,5.49,1.41,5.08,0.84,0.848,0.0,1.08,2.19,26.49,,,0.16
2.75,4.76,1.32,6.18,1.45,5.23,0.81,0.839,0.0,1.14,2.28,26.51,,,0.17
2.8000000000000003,4.92,1.37,5.79,1.5,5.38,0.877,0.847,0.0,1.21,2.36,26.52,,,0.19
2.85,5.06,1.41,6.48,1.54,5.53,0.799,0.834,0.0,1.28,2.45,26.54,,,0.2
2.9000000000000004,5.2,1.45,6.09,1.58,5.68,0.778,0.845,0.0,1.35,2.54,26.56,,,0.22
2.95,5.33,1.48,6.78,1.62,5.83,0.721,0.832,0.0,1.42,2.63,26.58,,,0.23
3.0,5.46,1.52,6.4,1.66,5.99,0.702,0.843,0.0,1.5,2.72,26.59,,,0.23
3.0500000000000003,5.58,1.55,7.08,1.7,6.14,0.693,0.831,0.0,1.58,2.82,26.61,,,0.24
3.1,5.71,1.59,6.7,1.75,6.29,0.707,0.842,0.0,1.65,2.91,26.63,,,0.25
3.1500000000000004,5.84,1.62,7.38,1.79,6.44,0.731,0.831,0.0,1.73,3.01,26.65,,,0.26
3.2,5.98,1.66,7.0,1.83,6.59,0.758,0.841,0.0,1.82,3.11,26.67,,,0.27
3.25,6.12,1.7,7.68,1.87,6.74,0.779,0.83,0.0,1.9,3.21,26.69,,,0.28
3.3000000000000003,6.26,1.74,7.31,1.91,6.89,0.792,0.844,0.0,1.99,3.32,26.7,,,0.3
3.35,6.41,1.78,7.98,1.96,7.04,0.796,0.832,0.0,2.08,3.43,26.73,,,0.31
3.4000000000000004,6.53,1.81,7.62,2.0,7.19,0.7,0.847,0.0,2.17,3.53,26.74,,,0.32
3.45,6.65,1.85,8.28,2.04,7.34,0.666,0.834,0.0,2.26,3.65,26.76,,,0.32
3.5,6.79,1.89,7.93,2.08,7.49,0.749,0.85,0.0,2.35,3.76,26.78,,,0.34
3.5500000000000003,6.93,1.93,8.58,2.12,7.65,0.805,0.837,0.0,2.45,3.88,26.81,,,0.35
3.6,7.08,1.97,8.24,2.17,7.8,0.844,0.854,0.0,2.54,3.99,26.82,,,0.38
3.6500000000000004,7.24,2.01,8.88,2.21,7.95,0.862,0.838,0.0,2.64,4.12,26.85,,,0.4
3.7,7.39,2.05,8.53,2.25,8.1,0.854,0.847,0.0,2.75,4.24,26.86,,,0.42
3.75,7.54,2.1,9.14,2.29,8.25,0.832,0.814,0.0,2.85,4.36,26.89,,,0.45
3.8000000000000003,7.69,2.14,8.76,2.33,8.39,0.802,0.806,0.0,2.96,4.48,26.9,,,0.47
3.85,7.83,2.17,9.35,2.37,8.53,0.777,0.762,0.0,3.06,4.61,26.92,,,0.5
3.9000000000000004,7.96,2.21,8.95,2.41,8.66,0.76,0.741,0.0,3.17,4.74,26.94,,,0.52
3.95,8.1,2.25,9.52,2.44,8.79,0.756,0.687,0.0,3.28,4.87,26.96,,,0.55
4.0,8.24,2.29,9.11,2.47,8.91,0.762,0.655,0.0,3.4,5.0,26.97,,,0.58
4.05,8.38,2.33,9.65,2.5,9.01,0.775,0.594,0.0,3.51,5.13,26.99,,,0.62
4.1000000000000005,8.52,2.37,9.23,2.53,9.11,0.792,0.552,0.0,3.63,5.26,27.0,,,0.67
4.15,8.66,2.41,9.76,2.56,9.2,0.806,0.488,0.0,3.75,5.39,27.02,,,0.72
4.2,8.81,2.45,9.33,2.58,9.28,0.816,0.448,0.0,3.87,5.52,27.03,,,0.78
4.25,8.96,2.49,9.85,2.6,9.35,0.821,0.395,0.0,4.0,5.66,27.04,,,0.85
4.3,9.11,2.53,9.41,2.62,9.42,0.821,0.363,0.0,4.12,5.79,27.05,,,0.92
4.3500000000000005,9.25,2.57,10.23,2.64,9.5,0.819,0.488,0.0,4.25,5.93,27.06,,,0.99
4.4,9.4,2.61,9.76,2.66,9.59,0.814,0.451,0.0,4.38,6.07,27.07,,,1.05
4.45,9.55,2.65,10.23,2.68,9.66,0.809,0.398,0.0,4.51,6.21,27.08,,,1.12
4.5,9.69,2.69,9.76,2.7,9.72,0.807,0.365,0.0,4.64,6.35,27.08,,,1.2
4.55,9.84,2.73,10.23,2.72,9.78,0.806,0.322,0.0,4.78,6.49,27.09,,,1.28
4.6000000000000005,9.98,2.77,9.76,2.73,9.83,0.808,0.296,0.0,4.92,6.62,27.08,,,1.36
4.65,10.13,2.81,10.23,2.74,9.88,0.812,0.261,0.0,5.06,6.77,27.09,,,1.45
4.7,10.28,2.85,9.76,2.76,9.92,0.817,0.24,0.0,5.2,6.9,27.08,,,1.55
4.75,10.42,2.9,10.23,2.77,9.96,0.822,0.211,0.0,5.34,7.04,27.08,,,1.64
4.800000000000001,10.57,2.94,9.76,2.78,10.0,0.826,0.194,0.0,5.49,7.18,27.07,,,1.75
4.8500000000000005,10.72,2.98,10.23,2.78,10.0,0.829,0.003,0.0,5.64,7.32,27.06,,,1.87
4.9,10.87,3.02,9.76,2.78,10.0,0.831,0.0,0.0,5.79,7.46,27.05,,,1.99
4.95,11.02,3.06,10.23,2.78,10.0,0.832,-0.0,0.0,5.94,7.6,27.04,,,2.12
5.0,11.17,3.1,9.76,2.78,10.0,0.831,0.0,0.0,6.1,7.74,27.02,,,2.25
5.050000000000001,11.32,3.14,10.23,2.78,10.0,0.831,-0.0,0.0,6.25,7.88,27.01,,,2.38
5.1000000000000005,11.47,3.19,9.76,2.78,10.0,0.831,0.0,0.0,6.41,8.01,26.98,,,2.51
5.15,11.62,3.23,10.23,2.78,10.0,0.832,-0.0,0.0,6.57,8.15,26.96,,,2.64
5.2,11.77,3.27,9.76,2.78,10.0,0.833,0.0,0.0,6.73,8.29,26.94,,,2.78
5.25,11.92,3.31,10.23,2.78,10.0,0.835,-0.0,0.0,6.9,8.43,26.92,,,2.92
5.300000000000001,12.07,3.35,9.76,2.78,10.0,0.838,0.0,0.0,7.06,8.57,26.89,,,3.06
5.3500000000000005,12.22,3.4,10.23,2.78,10.0,0.841,-0.0,0.0,7.23,8.71,26.86,,,3.2
5.4,12.37,3.44,9.76,2.78,10.0,0.843,0.0,0.0,7.4,8.85,26.82,,,3.34
5.45,12.53,3.48,10.23,2.78,10.0,0.846,-0.0,0.0,7.58,8.99,26.79,,,3.49
5.5,12.68,3.52,9.76,2.78,10.0,0.848,0.0,0.0,7.75,9.12,26.75,,,3.64
5.550000000000001,12.83,3.56,10.23,2.78,10.0,0.849,-0.0,0.0,7.93,9.27,26.72,,,3.79
