Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
0.0,0.07,0.02,7.06,1.96,7.06,,,1.5,0.0,0.0,41.0,24.56,,0.0
0.05,0.02,0.01,1.76,1.23,4.41,-0.273,-14.7,1.5,0.0,0.01,41.0,,,0.0
0.1,0.05,0.01,1.76,0.98,3.53,0.149,-4.9,1.5,0.0,0.03,41.0,,,0.0
0.15000000000000002,0.05,0.01,1.76,0.86,3.09,0.03,-2.449,1.5,0.0,0.04,41.0,,,0.0
0.2,0.05,0.02,1.77,0.78,2.82,0.014,-1.467,1.5,0.0,0.06,41.0,,,0.0
0.25,0.06,0.02,1.77,0.74,2.65,0.004,-0.975,1.5,0.0,0.07,41.0,,,0.0
0.30000000000000004,0.03,0.01,1.78,0.7,2.52,-0.134,-0.69,1.5,0.0,0.09,41.01,,,0.0
0.35000000000000003,0.05,0.01,1.79,0.68,2.43,0.114,-0.51,1.5,0.0,0.1,41.01,,,0.0
0.4,0.01,0.0,1.81,0.66,2.36,-0.219,-0.386,1.5,0.01,0.12,41.02,,,0.0
0.45,0.04,0.01,1.83,0.64,2.31,0.163,-0.297,1.5,0.01,0.14,41.02,,,0.0
0.5,0.01,0.0,1.86,0.5,1.79,-0.173,-2.889,1.5,0.01,0.15,41.03,,,0.0
0.55,0.05,0.01,1.89,0.5,1.8,0.201,0.071,1.5,0.01,0.17,41.04,,,0.0
0.6000000000000001,0.02,0.01,1.93,0.51,1.82,-0.142,0.094,1.5,0.01,0.19,41.05,,,0.0
0.65,0.06,0.02,1.98,0.51,1.84,0.229,0.122,1.5,0.01,0.21,41.06,,,0.0
0.7000000000000001,0.04,0.01,2.04,0.52,1.87,-0.125,0.154,1.5,0.01,0.23,41.07,,,0.0
0.75,0.08,0.02,2.11,0.53,1.9,0.249,0.188,1.5,0.01,0.25,41.09,,,0.0
0.8,0.07,0.02,2.18,0.54,1.94,-0.108,0.224,1.5,0.01,0.27,41.11,,,0.0
0.8500000000000001,0.11,0.03,2.26,0.55,1.99,0.263,0.262,1.5,0.01,0.3,41.12,,,0.0
0.9,0.1,0.03,2.35,0.57,2.04,-0.096,0.301,1.5,0.01,0.32,41.14,,,0.0
0.9500000000000001,0.15,0.04,2.44,0.58,2.1,0.282,0.341,1.5,0.01,0.35,41.16,,,0.0
1.0,0.13,0.04,2.54,0.6,2.17,-0.071,0.38,1.5,0.02,0.38,41.19,,,0.0
1.05,0.19,0.05,2.64,0.62,2.25,0.305,0.418,1.5,0.02,0.41,41.21,,,0.0
1.1,0.18,0.05,2.75,0.65,2.33,-0.054,0.455,1.5,0.02,0.44,41.24,,,0.0
1.1500000000000001,0.24,0.07,2.87,0.67,2.42,0.335,0.49,1.5,0.02,0.48,41.27,,,0.0
1.2000000000000002,0.24,0.07,2.83,0.69,2.5,-0.012,0.436,1.5,0.03,0.52,41.3,,,0.0
1.25,0.64,0.18,2.58,0.71,2.54,2.214,0.263,1.5,0.03,0.55,41.33,,,0.0
1.3,0.92,0.25,3.02,0.73,2.63,1.568,0.463,1.5,0.05,0.59,41.35,,,0.0
1.35,1.18,0.33,2.82,0.75,2.68,1.469,0.31,1.5,0.06,0.63,41.38,,,0.0
1.4000000000000001,1.33,0.37,3.29,0.77,2.78,0.846,0.523,1.5,0.08,0.67,41.4,,,0.0
1.4500000000000002,1.53,0.42,3.08,0.79,2.84,1.081,0.353,1.5,0.1,0.72,41.42,,,0.0
1.5,1.77,0.49,3.58,0.82,2.95,1.337,0.578,1.5,0.12,0.76,41.45,,,0.0
1.55,1.81,0.5,3.35,0.84,3.02,0.2,0.395,1.5,0.15,0.81,41.47,,,0.0
1.6,2.16,0.6,3.89,0.87,3.13,1.951,0.633,1.5,0.17,0.86,41.5,,,0.0
1.6500000000000001,2.25,0.62,3.65,0.89,3.21,0.501,0.434,1.5,0.2,0.91,41.52,,,0.0
1.7000000000000002,2.38,0.66,4.21,0.93,3.35,0.744,0.768,1.5,0.24,0.97,41.54,,,0.0
1.75,2.49,0.69,3.95,0.97,3.48,0.627,0.759,1.5,0.27,1.03,41.56,,,0.0
1.8,2.57,0.71,4.53,1.01,3.63,0.428,0.841,1.5,0.31,1.09,41.59,,,0.0
1.85,2.63,0.73,4.25,1.05,3.78,0.334,0.797,1.5,0.34,1.15,41.61,,,0.0
1.9000000000000001,2.7,0.75,4.85,1.09,3.93,0.392,0.868,0.0,0.38,1.22,41.64,,,0.0
1.9500000000000002,2.8,0.78,4.57,1.13,4.08,0.546,0.828,0.0,0.42,1.28,41.67,,,0.0
2.0,2.93,0.81,5.18,1.18,4.24,0.722,0.887,0.0,0.46,1.35,41.7,,,0.0
2.0500000000000003,3.1,0.86,4.88,1.22,4.4,0.921,0.847,0.0,0.5,1.42,41.72,,,0.0
2.1,3.28,0.91,5.5,1.27,4.56,1.02,0.892,0.0,0.54,1.49,41.76,,,0.0
2.15,3.47,0.96,5.19,1.31,4.71,1.073,0.856,0.0,0.59,1.57,41.78,,,0.0
2.2,3.65,1.02,5.82,1.35,4.87,1.01,0.893,0.0,0.64,1.65,41.81,,,0.0
2.25,3.82,1.06,5.5,1.4,5.03,0.929,0.86,0.0,0.69,1.72,41.84,,,0.0
2.3000000000000003,3.96,1.1,6.13,1.44,5.19,0.791,0.892,0.0,0.75,1.81,41.86,,,0.0
2.35,4.09,1.14,5.81,1.48,5.34,0.704,0.864,0.0,0.8,1.89,41.89,,,0.0
2.4000000000000004,4.2,1.17,6.46,1.53,5.5,0.618,0.891,0.0,0.86,1.98,41.92,,,0.0
2.45,4.31,1.2,6.12,1.57,5.66,0.617,0.865,0.0,0.92,2.06,41.95,,,0.0
2.5,4.43,1.23,6.77,1.62,5.82,0.626,0.886,0.0,0.98,2.16,41.98,,,0.0
2.5500000000000003,4.55,1.26,6.44,1.66,5.97,0.702,0.866,0.0,1.04,2.25,42.01,,,0.0
2.6,4.69,1.3,7.09,1.7,6.13,0.765,0.884,0.0,1.11,2.34,42.04,,,0.0
2.6500000000000004,4.84,1.34,6.76,1.75,6.29,0.837,0.871,0.0,1.17,2.44,42.07,,,0.0
2.7,4.97,1.38,7.41,1.79,6.45,0.745,0.885,0.0,1.24,2.54,42.1,,,0.0
2.75,5.06,1.41,7.08,1.84,6.61,0.5,0.877,0.0,1.31,2.64,42.13,,,0.0
2.8000000000000003,5.12,1.42,7.73,1.88,6.77,0.287,0.885,0.0,1.38,2.75,42.17,,,0.0
2.85,5.17,1.44,7.39,1.92,6.92,0.279,0.88,0.0,1.45,2.85,42.2,,,0.0
2.9000000000000004,5.23,1.45,8.04,1.97,7.08,0.378,0.882,0.0,1.53,2.96,42.24,,,0.0
2.95,5.34,1.48,7.71,2.01,7.24,0.57,0.881,0.0,1.6,3.07,42.28,,,0.0
3.0,5.47,1.52,8.35,2.06,7.4,0.749,0.879,0.0,1.67,3.18,42.32,,,0.0
3.0500000000000003,5.62,1.56,8.02,2.1,7.56,0.851,0.88,0.0,1.75,3.3,42.35,,,0.0
3.1,5.78,1.61,8.66,2.14,7.72,0.874,0.875,0.0,1.83,3.42,42.39,,,0.0
3.1500000000000004,5.93,1.65,8.34,2.19,7.87,0.839,0.878,0.0,1.91,3.53,42.43,,,0.0
3.2,6.05,1.68,8.97,2.23,8.03,0.673,0.869,0.0,2.0,3.66,42.47,,,0.0
3.25,6.16,1.71,8.65,2.27,8.19,0.577,0.874,0.0,2.08,3.78,42.5,,,0.0
3.3000000000000003,6.29,1.75,9.28,2.32,8.34,0.709,0.863,0.0,2.17,3.91,42.54,,,0.0
3.35,6.44,1.79,8.96,2.36,8.5,0.87,0.871,0.0,2.26,4.03,42.58,,,0.0
3.4000000000000004,6.62,1.84,9.59,2.4,8.65,0.959,0.861,0.0,2.35,4.16,42.62,,,0.0
3.45,6.77,1.88,9.28,2.45,8.81,0.872,0.871,0.0,2.44,4.29,42.66,,,0.0
3.5,6.88,1.91,9.9,2.49,8.97,0.579,0.86,0.0,2.54,4.43,42.7,,,0.0
3.5500000000000003,6.94,1.93,9.59,2.53,9.12,0.35,0.871,0.0,2.63,4.56,42.74,,,0.0
3.6,6.98,1.94,10.21,2.58,9.28,0.251,0.859,0.0,2.73,4.71,42.78,,,0.0
3.6500000000000004,7.03,1.95,9.91,2.62,9.43,0.278,0.872,0.0,2.83,4.84,42.83,,,0.0
3.7,7.12,1.98,10.52,2.66,9.59,0.471,0.862,0.0,2.92,4.99,42.87,,,0.0
3.75,7.25,2.01,10.23,2.71,9.75,0.7,0.876,0.0,3.02,5.13,42.92,,,0.0
3.8000000000000003,7.4,2.06,10.84,2.75,9.9,0.875,0.866,0.0,3.13,5.28,42.96,,,0.0
3.85,7.58,2.1,10.55,2.79,10.06,0.966,0.882,0.0,3.23,5.43,43.01,,,0.0
3.9000000000000004,7.75,2.15,11.16,2.84,10.22,0.986,0.872,0.0,3.34,5.58,43.05,,,0.0
3.95,7.93,2.2,10.88,2.88,10.38,0.95,0.889,0.0,3.45,5.74,43.1,,,0.0
4.0,8.08,2.24,11.48,2.93,10.54,0.867,0.879,0.0,3.56,5.89,43.14,,,0.0
4.05,8.22,2.28,11.21,2.97,10.7,0.771,0.897,0.0,3.67,6.05,43.19,,,0.0
4.1000000000000005,8.34,2.32,11.81,3.02,10.86,0.676,0.887,0.0,3.79,6.21,43.24,,,0.0
4.15,8.45,2.35,11.54,3.06,11.02,0.602,0.905,0.0,3.9,6.37,43.28,,,0.0
4.2,8.55,2.38,12.13,3.11,11.18,0.574,0.893,0.0,4.02,6.54,43.33,,,0.0
4.25,8.65,2.4,11.86,3.15,11.35,0.529,0.91,0.0,4.14,6.71,43.38,,,0.0
4.3,8.75,2.43,12.45,3.2,11.51,0.559,0.897,0.0,4.26,6.88,43.43,,,0.0
4.3500000000000005,8.87,2.46,12.19,3.24,11.67,0.688,0.913,0.0,4.38,7.05,43.48,,,0.0
4.4,9.02,2.5,12.78,3.29,11.83,0.798,0.898,0.0,4.51,7.23,43.53,,,0.0
4.45,9.17,2.55,12.52,3.33,12.0,0.875,0.911,0.0,4.64,7.4,43.58,,,0.0
4.5,9.34,2.59,13.1,3.38,12.16,0.907,0.895,0.0,4.76,7.58,43.63,,,0.0
4.55,9.5,2.64,12.84,3.42,12.32,0.896,0.908,0.0,4.9,7.76,43.68,,,0.0
4.6000000000000005,9.65,2.68,13.41,3.47,12.48,0.855,0.892,0.0,5.03,7.95,43.73,,,0.0
4.65,9.8,2.72,13.16,3.51,12.64,0.801,0.905,0.0,5.16,8.13,43.78,,,0.0
4.7,9.92,2.75,13.73,3.56,12.8,0.662,0.888,0.0,5.3,8.32,43.83,,,0.0
4.75,10.02,2.78,13.49,3.6,12.97,0.589,0.902,0.0,5.44,8.51,43.88,,,0.0
4.800000000000001,10.13,2.81,14.05,3.65,13.13,0.598,0.886,0.0,5.58,8.7,43.94,,,0.0
4.8500000000000005,10.25,2.85,13.81,3.69,13.29,0.65,0.901,0.0,5.72,8.9,43.99,,,0.0
4.9,10.38,2.88,14.37,3.74,13.45,0.716,0.885,0.0,5.86,9.09,44.04,,,0.0
4.95,10.52,2.92,14.14,3.78,13.61,0.792,0.901,0.0,6.01,9.29,44.1,,,0.0
5.0,10.68,2.97,14.69,3.82,13.77,0.921,0.887,0.0,6.16,9.5,44.15,,,0.0
5.050000000000001,10.84,3.01,14.47,3.87,13.93,0.887,0.905,0.0,6.31,9.7,44.2,,,0.0
5.1000000000000005,10.96,3.04,15.02,3.91,14.09,0.649,0.89,0.0,6.46,9.91,44.26,,,0.0
5.15,11.04,3.07,14.8,3.96,14.26,0.436,0.911,0.0,6.61,10.11,44.31,,,0.0
5.2,11.1,3.08,15.34,4.0,14.42,0.358,0.892,0.0,6.77,10.32,44.37,,,0.0
5.25,11.17,3.1,15.13,4.05,14.58,0.361,0.913,0.0,6.92,10.53,44.43,,,0.0
5.300000000000001,11.25,3.12,15.66,4.1,14.74,0.434,0.892,0.0,7.08,10.75,44.49,,,0.0
5.3500000000000005,11.35,3.15,15.46,4.14,14.91,0.551,0.916,0.0,7.23,10.97,44.55,,,0.0
5.4,11.47,3.19,15.97,4.19,15.07,0.68,0.891,0.0,7.39,11.19,44.61,,,0.0
5.45,11.61,3.22,15.79,4.23,15.23,0.787,0.918,0.0,7.55,11.41,44.67,,,0.0
5.5,11.76,3.27,16.29,4.28,15.39,0.853,0.89,0.0,7.71,11.63,44.73,,,0.0
5.550000000000001,11.92,3.31,16.12,4.32,15.56,0.871,0.917,0.0,7.88,11.86,44.79,,,0.0
5.6000000000000005,12.07,3.35,16.61,4.37,15.72,0.847,0.885,0.0,8.05,12.09,44.86,,,0.0
5.65,12.22,3.39,16.45,4.41,15.88,0.795,0.913,0.0,8.21,12.32,44.92,,,0.0
5.7,12.33,3.43,16.92,4.46,16.04,0.649,0.882,0.0,8.39,12.55,44.98,,,0.0
5.75,12.43,3.45,16.77,4.5,16.2,0.555,0.911,0.0,8.56,12.79,45.04,,,0.0
5.800000000000001,12.54,3.48,17.24,4.55,16.36,0.605,0.878,0.0,8.73,13.02,45.11,,,0.0
5.8500000000000005,12.66,3.52,17.09,4.59,16.53,0.66,0.906,0.0,8.91,13.26,45.17,,,0.0
5.9,12.79,3.55,17.55,4.63,16.68,0.723,0.873,0.0,9.08,13.51,45.24,,,0.0
5.95,12.93,3.59,17.42,4.68,16.85,0.785,0.903,0.0,9.26,13.75,45.3,,,0.0
6.0,13.08,3.63,17.86,4.72,17.0,0.829,0.87,0.0,9.44,14.0,45.37,,,0.0
6.050000000000001,13.23,3.68,17.74,4.77,17.16,0.856,0.901,0.0,9.63,14.24,45.43,,,0.0
6.1000000000000005,13.38,3.72,18.04,4.81,17.31,0.816,0.794,0.0,9.81,14.49,45.5,,,0.0
6.15,13.53,3.76,18.2,4.86,17.48,0.826,0.974,0.0,10.0,14.74,45.56,,,0.0
6.2,13.7,3.8,18.9,4.91,17.68,0.923,1.097,0.0,10.19,15.0,45.63,,,0.0
6.25,13.87,3.85,17.87,4.94,17.79,0.974,0.61,0.0,10.38,15.25,45.69,,,0.0
6.300000000000001,14.04,3.9,18.67,4.98,17.93,0.937,0.798,0.0,10.57,15.51,45.75,,,0.0
6.3500000000000005,14.21,3.95,18.74,5.03,18.1,0.943,0.916,0.0,10.77,15.77,45.82,,,0.0
6.4,14.4,4.0,19.08,5.07,18.25,1.04,0.853,0.0,10.97,16.03,45.88,,,0.0
6.45,14.59,4.05,19.07,5.12,18.42,1.078,0.918,0.0,11.17,16.3,45.95,,,0.0
6.5,14.78,4.11,19.4,5.16,18.57,1.074,0.857,0.0,11.37,16.57,46.01,,,0.0
6.550000000000001,14.97,4.16,19.39,5.2,18.74,1.034,0.917,0.0,11.58,16.84,46.07,,,0.0
6.6000000000000005,15.15,4.21,19.72,5.25,18.91,0.97,0.937,0.0,11.79,17.11,46.14,,,0.0
6.65,15.31,4.25,19.72,5.29,19.06,0.894,0.844,0.0,12.0,17.39,46.2,,,0.0
6.7,15.46,4.29,20.05,5.33,19.17,0.829,0.64,0.0,12.22,17.66,46.26,,,0.0
6.75,15.6,4.33,20.05,5.39,19.39,0.794,1.209,0.0,12.43,17.94,46.33,,,0.0
6.800000000000001,15.74,4.37,20.37,5.43,19.56,0.782,0.946,0.0,12.65,18.23,46.39,,,0.0
6.8500000000000005,15.87,4.41,20.37,5.48,19.72,0.714,0.905,0.0,12.87,18.51,46.46,,,0.0
6.9,15.99,4.44,20.7,5.52,19.88,0.693,0.898,0.0,13.09,18.8,46.52,,,0.0
6.95,16.12,4.48,20.7,5.57,20.05,0.734,0.904,0.0,13.31,19.08,46.59,,,0.0
7.0,16.25,4.52,21.02,5.61,20.21,0.721,0.9,0.0,13.54,19.38,46.65,,,0.0
7.050000000000001,16.4,4.56,21.02,5.66,20.37,0.823,0.905,0.0,13.77,19.67,46.72,,,0.0
7.1000000000000005,16.58,4.61,21.35,5.7,20.54,0.99,0.903,0.0,14.0,19.96,46.79,,,0.0
7.15,16.76,4.66,21.35,5.75,20.7,0.998,0.906,0.0,14.23,20.26,46.85,,,0.0
7.2,16.94,4.7,21.68,5.79,20.86,0.98,0.904,0.0,14.46,20.56,46.92,,,0.0
7.25,17.12,4.76,21.68,5.84,21.02,1.045,0.908,0.0,14.7,20.86,46.98,,,0.0
7.300000000000001,17.31,4.81,22.0,5.89,21.19,1.049,0.906,0.0,14.94,21.17,47.05,,,0.03
7.3500000000000005,17.48,4.85,22.0,5.93,21.35,0.909,0.908,0.0,15.18,21.47,47.11,,,0.07
7.4,17.62,4.89,22.33,5.98,21.51,0.777,0.904,0.0,15.42,21.78,47.18,,,0.08
7.45,17.78,4.94,22.32,6.02,21.68,0.898,0.903,0.0,15.67,22.09,47.24,,,0.12
7.5,17.98,4.99,22.64,6.07,21.84,1.099,0.897,0.0,15.92,22.41,47.31,,,0.21
7.550000000000001,18.18,5.05,22.63,6.11,22.0,1.131,0.896,0.0,16.17,22.72,47.37,,,0.31
